task,accuracy,f1
face,0.6335616438356164,0.6134372736604607
dog,0.8215613382899628,0.8209915223586659
temporal,0.9285714285714286,0.9349112426035502
movie,0.944,0.9450980392156862
disambiguation,0.9943502824858758,0.9949042625689727
face_scrambled,0.6352739726027398,0.6352837114384868
