task,accuracy,f1
face,0.6455479452054794,0.6286853714537964
dog,0.8215613382899628,0.8208962145349036
temporal,0.9285714285714286,0.9338677354709418
movie,0.94,0.9409448818897638
disambiguation,0.9943502824858758,0.9949042625689727
face_scrambled,0.6455479452054794,0.645283585112587
