method,mae
MAS,0.27044025157232704
BAU,0.29559748427672955
SAD,0.29874213836477986
ORACLE,0.06289308176100629
DEM,0.27358490566037735
RANDOM,0.42138364779874216
MAS_MERGE,0.2861635220125786
BAU_MERGE,0.2672955974842767
SAD_MERGE,0.29559748427672955
DEM_MERGE,0.27672955974842767
ORACLE_MERGE,0.17295597484276728
UNIFORM_MERGE,0.2830188679245283
CATD_MERGE,0.29245283018867924
CATD,0.3050314465408805
GPM,0.29874213836477986
GPM_MERGE,0.279874213836478
