task,dist_fn,eval_fn,method,acc,f1_macro,f1_weighted,supervision_amt,fold,noise,suffix
dog,exact match dist,exact match eval,DEM,0.9987608426270136,0.998735405515385,0.9987613003243562,0.0,,0.75,var0.15
dog,exact match dist,exact match eval,RANDOM,0.79182156133829,0.7899568065627409,0.7916955936361877,0.0,,0.75,var0.15
dog,exact match dist,exact match eval,MAS,0.6716232961586122,0.6700643146148073,0.6721091864296947,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,BAU,0.5935563816604709,0.5927798830324195,0.5939301825503515,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,SAD,0.6567534076827757,0.6553659044702205,0.6570086726456783,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,ORACLE,0.9938042131350682,0.9934253356692948,0.9938123741183978,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,DEM,0.6641883519206939,0.6634318158427024,0.6643156981902468,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,RANDOM,0.4188351920693928,0.4175977478164371,0.4186582617809703,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,MAS,0.6765799256505576,0.6748186102690006,0.6770937437144404,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,BAU,0.5935563816604709,0.5927798830324195,0.5939301825503515,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,SAD,0.6567534076827757,0.6553659044702205,0.6570086726456783,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,ORACLE,0.9938042131350682,0.9934253356692948,0.9938123741183978,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,DEM,0.654275092936803,0.6534112666180053,0.65460002063754,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,RANDOM,0.40272614622057,0.40223191367147254,0.4026772668639552,0.0,,0.45,var0.2
dog,exact match dist,exact match eval,MAS,0.8401486988847584,0.8395770668440569,0.8403028642352878,0.0,,0.5,var0.2
dog,exact match dist,exact match eval,BAU,0.7001239157372986,0.6979196583386604,0.7001433733694808,0.0,,0.5,var0.2
dog,exact match dist,exact match eval,SAD,0.8104089219330854,0.8101805116513734,0.8105059605286865,0.0,,0.5,var0.2
dog,exact match dist,exact match eval,ORACLE,0.9987608426270136,0.9985978555437728,0.9987609594322331,0.0,,0.5,var0.2
dog,exact match dist,exact match eval,DEM,0.8228004956629492,0.8221568026422625,0.8229434476513401,0.0,,0.5,var0.2
dog,exact match dist,exact match eval,RANDOM,0.5030978934324659,0.5028698466599327,0.5030720408267602,0.0,,0.5,var0.2
dog,exact match dist,exact match eval,MAS,0.9120198265179678,0.9121037666652069,0.912150607312493,0.0,,0.55,var0.2
dog,exact match dist,exact match eval,BAU,0.7744733581164808,0.7750475492567612,0.7743068100147595,0.0,,0.55,var0.2
dog,exact match dist,exact match eval,SAD,0.8798017348203222,0.8789670173953744,0.879715618861186,0.0,,0.55,var0.2
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.55,var0.2
dog,exact match dist,exact match eval,DEM,0.8909541511771994,0.8903287081283536,0.8909738245134714,0.0,,0.55,var0.2
dog,exact match dist,exact match eval,RANDOM,0.5390334572490706,0.5369632977099148,0.5397775999421722,0.0,,0.55,var0.2
dog,exact match dist,exact match eval,MAS,0.9541511771995044,0.9538332439761377,0.9541798610104131,0.0,,0.6,var0.2
dog,exact match dist,exact match eval,BAU,0.8351920693928129,0.8341850576737371,0.8351746905287323,0.0,,0.6,var0.2
dog,exact match dist,exact match eval,SAD,0.9306071871127634,0.9298859655146194,0.9306060717354763,0.0,,0.6,var0.2
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.6,var0.2
dog,exact match dist,exact match eval,DEM,0.9380421313506815,0.9375347399741378,0.9380759166623265,0.0,,0.6,var0.2
dog,exact match dist,exact match eval,RANDOM,0.5675340768277571,0.5649122653653023,0.5680355186033291,0.0,,0.6,var0.2
dog,exact match dist,exact match eval,MAS,0.9714993804213135,0.9715164123642889,0.9715816398454733,0.0,,0.65,var0.2
dog,exact match dist,exact match eval,BAU,0.9219330855018587,0.9216224534634584,0.9221357418325351,0.0,,0.65,var0.2
dog,exact match dist,exact match eval,SAD,0.9516728624535316,0.9519054219947731,0.9516665871691924,0.0,,0.65,var0.2
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.65,var0.2
dog,exact match dist,exact match eval,DEM,0.9640644361833953,0.9641023052671983,0.9640895986268353,0.0,,0.65,var0.2
dog,exact match dist,exact match eval,RANDOM,0.6369268897149938,0.6358244023927563,0.6371453109180882,0.0,,0.65,var0.2
dog,exact match dist,exact match eval,MAS,0.9888475836431226,0.9891356609585487,0.9888502676913824,0.0,,0.7,var0.2
dog,exact match dist,exact match eval,BAU,0.9541511771995044,0.9543895704055095,0.954274574705841,0.0,,0.7,var0.2
dog,exact match dist,exact match eval,SAD,0.990086741016109,0.9902869774652584,0.9900917240774918,0.0,,0.7,var0.2
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.7,var0.2
dog,exact match dist,exact match eval,DEM,0.9950433705080545,0.9952094704710661,0.9950430948334443,0.0,,0.7,var0.2
dog,exact match dist,exact match eval,RANDOM,0.7298636926889716,0.7298899646998781,0.7298357719707343,0.0,,0.7,var0.2
dog,exact match dist,exact match eval,MAS,0.9925650557620818,0.9924195008688481,0.992566972812835,0.0,,0.75,var0.2
dog,exact match dist,exact match eval,BAU,0.9801734820322181,0.9801206457048623,0.9801908782272312,0.0,,0.75,var0.2
dog,exact match dist,exact match eval,SAD,0.990086741016109,0.9901448420924219,0.9900892227059531,0.0,,0.75,var0.2
dog,exact match dist,exact match eval,ORACLE,1.0,1.0,1.0,0.0,,0.75,var0.2
dog,exact match dist,exact match eval,DEM,0.9925650557620818,0.9926976268670253,0.992569274137173,0.0,,0.75,var0.2
dog,exact match dist,exact match eval,RANDOM,0.734820322180917,0.7333423913541467,0.7344191710842388,0.0,,0.75,var0.2
dog,exact match dist,exact match eval,MAS,0.8562577447335812,0.8561658397562532,0.8563010698922442,0.0,,0.45,var0.25
