task,accuracy,f1
face,0.6181506849315068,0.5962099538591432
dog,0.8277571251548946,0.826367093381888
temporal,0.9307359307359307,0.9375
movie,0.944,0.9448818897637795
disambiguation,0.9943502824858758,0.9949042625689727
face_scrambled,0.6181506849315068,0.6177360969893355
