task,accuracy,f1
face,0.6335616438356164,0.6120237432459298
dog,0.8215613382899628,0.8211769322276431
movie,0.942,0.9420020886767313
temporal,0.9372294372294372,0.9373764033420924
disambiguation,0.9943502824858758,0.9949042625689727
weather,0.885,0.8829018337232303
