task,accuracy,f1
face,0.6438356164383562,0.6246836564684974
temporal,0.9415584415584416,0.9339853300733497
movie,0.946,0.9469548133595286
dog,0.8302354399008675,0.8288854350764253
disambiguation,0.9943502824858758,0.9949042625689727
face_scrambled,0.6267123287671232,0.6263361760453444
