boy lad,0.9499999999999993
tool implement,1.7999999999999998
gem jewel,1.0
brother monk,0.04999999999999982
lad wizard,0.32499999999999973
brother lad,0.5750000000000002
monk slave,0.1499999999999999
automobile car,0.27500000000000036
forest graveyard,1.1
asylum madhouse,0.25
cemetery woodland,1.4000000000000004
midday noon,0.0
bird cock,1.1999999999999984
crane implement,0.7249999999999996
food fruit,1.1499999999999995
coast hill,1.15
bird crane,0.7249999999999996
food rooster,0.2999999999999998
furnace stove,1.5749999999999984
monk oracle,0.04999999999999982
noon string,2.375
magician wizard,0.5500000000000007
shore woodland,1.275
rooster voyage,0.8250000000000001
journey voyage,0.09999999999999964
car journey,1.75
glass magician,0.625
coast forest,1.0
cord smile,2.575
coast shore,1.8999999999999986
