boy lad,0.05000000000000071
tool implement,1.7999999999999998
gem jewel,0.0
brother monk,0.04999999999999982
lad wizard,0.32499999999999973
brother lad,0.4249999999999998
monk slave,0.1499999999999999
automobile car,0.27500000000000036
forest graveyard,0.8999999999999999
asylum madhouse,0.25
cemetery woodland,0.40000000000000036
midday noon,0.0
bird cock,0.8000000000000016
crane implement,0.7249999999999996
food fruit,0.14999999999999947
coast hill,0.8500000000000001
bird crane,0.7249999999999996
food rooster,0.2999999999999998
furnace stove,1.5749999999999984
monk oracle,0.04999999999999982
noon string,0.375
magician wizard,0.5500000000000007
shore woodland,0.2749999999999999
rooster voyage,0.8250000000000001
journey voyage,0.09999999999999964
car journey,1.75
glass magician,0.625
coast forest,0.0
cord smile,0.4249999999999998
coast shore,0.8999999999999986
