1,27
2,38
3,0
4,0
5,49
6,47
7,0
8,7
9,23
10,2
11,0
12,0
13,0
14,0
15,0
16,8
17,0
18,0
19,8
20,8
21,0
22,0
23,1
24,0
25,32
26,24
27,0
28,15
29,9
30,0
31,8
32,0
33,27
34,11
35,3
36,0
37,17
38,0
39,4
40,45
41,0
42,30
43,4
44,18
45,8
46,3
47,0
48,4
49,17
50,8
51,85
52,24
53,0
54,0
55,1
56,11
57,0
58,3
59,0
60,30
61,21
62,0
63,14
64,2
65,11
66,0
67,0
68,0
69,2
70,0
71,7
72,25
73,51
74,19
75,0
76,2
77,0
78,0
79,10
80,14
81,8
82,0
83,1
84,0
85,8
86,51
87,0
88,0
89,0
90,0
91,4
92,6
93,0
94,0
95,62
96,66
97,0
98,11
99,2
100,22
101,8
102,8
103,13
104,0
105,0
106,8
107,0
108,10
109,25
110,0
111,0
112,0
113,0
114,0
115,0
116,10
117,0
118,12
119,0
120,3
121,0
122,0
123,8
124,0
125,15
126,0
127,0
128,20
129,0
130,0
131,7
132,0
133,2
134,5
135,35
136,0
137,7
138,0
139,0
140,46
141,0
142,13
143,4
144,19
145,0
146,46
147,0
148,11
149,0
150,25
151,95
152,0
153,0
154,0
155,0
156,0
157,0
158,9
159,0
160,8
161,36
162,0
163,20
164,3
165,0
166,0
167,0
168,10
169,0
170,0
171,8
172,22
173,18
174,1
175,0
176,2
177,8
178,0
179,0
180,58
181,0
182,0
183,0
184,0
185,0
186,43
187,0
188,0
189,0
190,0
191,5
192,34
193,0
194,0
195,80
196,89
197,14
198,0
199,1
200,10
201,6
202,48
203,0
204,5
205,0
206,37
207,0
208,75
209,0
210,11
211,0
212,9
213,0
214,0
215,0
216,22
217,0
218,7
219,5
220,11
221,0
222,6
223,0
224,8
225,77
226,3
227,0
228,29
229,19
230,0
231,2
232,0
233,78
234,43
235,28
236,0
237,28
238,0
239,0
240,100
241,0
242,8
243,6
244,17
245,6
246,26
247,0
248,30
249,30
250,0
251,4
252,3
253,6
254,0
255,0
256,5
257,0
258,52
259,20
260,0
261,50
262,0
263,24
264,0
265,0
266,25
267,3
268,0
269,0
270,0
271,0
272,45
273,0
274,1
275,0
276,0
277,5
278,0
279,9
280,37
281,8
282,0
283,23
284,0
285,8
286,18
287,0
288,0
289,0
290,0
291,0
292,16
293,0
294,15
295,10
296,40
297,0
298,0
299,55
300,25
301,0
302,0
303,8
304,36
305,0
306,0
307,58
308,0
309,5
310,30
311,14
312,0
313,42
314,45
315,43
316,0
317,33
318,0
319,4
320,13
321,32
322,23
323,0
324,32
325,0
326,0
327,30
328,0
329,29
330,10
331,0
332,44
333,0
334,0
335,20
336,25
337,2
338,0
339,33
340,0
341,36
342,0
343,31
344,0
345,10
346,0
347,65
348,8
349,2
350,17
351,0
352,48
353,0
354,4
355,7
356,6
357,63
358,0
359,2
360,7
361,42
362,15
363,2
364,2
365,0
366,55
367,25
368,18
369,50
370,68
371,0
372,11
373,0
374,11
375,31
376,0
377,5
378,20
379,22
380,0
381,47
382,0
383,8
384,17
385,0
386,0
387,46
388,56
389,17
390,37
391,0
392,13
393,53
394,28
395,0
396,0
397,4
398,0
399,0
400,17
401,9
402,35
403,0
404,2
405,14
406,2
407,0
408,24
409,28
410,2
411,0
412,3
413,0
414,0
415,0
416,7
417,6
418,21
419,3
420,24
421,0
422,0
423,11
424,0
425,40
426,2
427,0
428,9
429,14
430,0
431,3
432,0
433,45
434,5
435,8
436,0
437,1
438,0
439,1
440,64
441,0
442,2
443,5
444,53
445,20
446,29
447,0
448,14
449,0
450,11
451,8
452,6
453,21
454,8
455,57
456,1
457,0
458,60
459,0
460,6
461,31
462,0
463,3
464,17
465,40
466,3
467,0
468,2
469,0
470,0
471,0
472,28
473,3
474,9
475,0
476,0
477,0
478,8
479,36
480,26
481,13
482,0
483,11
484,0
485,3
486,16
487,0
488,0
489,0
490,0
491,0
492,32
493,0
494,9
495,65
496,60
497,0
498,4
499,36
500,17
501,4
502,5
503,63
504,21
505,10
506,17
507,24
508,2
509,2
510,16
511,2
512,2
513,56
514,8
515,35
516,21
517,69
518,57
519,8
520,65
521,35
522,44
523,19
524,5
525,4
526,3
527,13
528,12
529,4
530,19
531,25
532,25
533,20
534,0
535,6
536,10
537,2
538,14
539,2
540,13
541,24
542,9
543,12
544,12
545,17
546,6
547,23
548,5
549,16
550,0
551,0
552,18
553,26
554,4
555,12
556,18
557,0
558,0
559,36
560,36
561,27
562,8
563,21
564,33
565,22
566,11
567,26
568,16
569,9
570,7
571,2
572,43
573,27
574,9
575,8
576,10
577,44
578,12
579,3
580,10
581,35
582,53
583,8
584,19
585,7
586,33
587,31
588,37
589,4
590,4
591,19
592,5
593,65
594,11
595,59
596,13
597,75
598,38
599,14
600,17
601,26
602,59
603,40
604,38
605,52
606,61
607,57
608,62
609,49
610,21
611,12
612,10
613,56
614,44
615,52
616,5
617,47
618,46
619,14
620,4
621,32
622,31
623,23
624,31
625,42
626,25
627,0
628,38
629,52
630,18
631,12
632,51
633,8
634,28
635,2
636,81
637,24
638,16
639,29
640,36
641,42
642,44
643,6
644,39
645,3
646,14
647,67
648,30
649,33
650,40
651,57
652,29
653,13
654,4
655,34
656,18
657,60
658,53
659,52
660,22
661,88
662,7
663,39
664,13
665,46
666,40
667,5
668,23
669,50
670,62
671,10
672,24
673,41
674,52
675,38
676,2
677,8
678,26
679,9
680,26
681,42
682,14
683,6
684,14
685,27
686,27
687,40
688,63
689,26
690,34
691,6
692,2
693,61
694,22
695,46
696,68
697,14
698,15
699,57
700,25
