task,accuracy,f1
face,0.5547945205479452,0.5355378697824416
dog,0.6951672862453532,0.6950755573057198
temporal,0.7575757575757576,0.7666666666666666
movie,0.88,0.8828124999999999
disambiguation,0.9830508474576272,0.9848700692201319
face_scrambled,0.5684931506849316,0.5683369297977233
