task,accuracy,f1
face,0.8921232876712328,0.8899089590042943
dog,0.990086741016109,0.990088101719231
temporal,0.9978354978354979,0.9980657640232108
movie,1.0,1.0
disambiguation,1.0,1.0
face_scrambled,0.8921232876712328,0.8920637713674107
