task,mae,mse
weather_ordinal,0.018072289156626505,0.018072289156626505
adult_ordinal,0.06289308176100629,0.06289308176100629
weather_ordinal,0.018072289156626505,0.018072289156626505
adult_ordinal,0.06289308176100629,0.06289308176100629
