task,accuracy,f1
face,0.6386986301369864,0.6183478933966254
dog,0.8190830235439901,0.8185538047814788
temporal,0.9329004329004329,0.9386138613861386
movie,0.94,0.9409448818897638
face_scrambled,0.636986301369863,0.6366810514761585
dog_scrambled,0.8190830235439901,0.8185393458888027
disambiguation,0.9943502824858758,0.9949042625689727
