task,accuracy,f1
waterbird_0.1,0.7592592592592593,0.7493464052287583
task,accuracy,f1
waterbird_0.2,0.7592592592592593,0.7493464052287583
task,accuracy,f1
waterbird_0.1,0.7592592592592593,0.7493464052287583
task,accuracy,f1
waterbird_0.2,0.7592592592592593,0.7493464052287583
task,accuracy,f1
temporal_0.1,0.935064935064935,0.9352611098046418
task,accuracy,f1
temporal_0.2,0.9458874458874459,0.9459958067669858
task,accuracy,f1
temporal_0.1,0.935064935064935,0.9352453102453103
task,accuracy,f1
temporal_0.2,0.9437229437229437,0.9438454426151275
task,accuracy,f1
movie_0.1,0.954,0.9539928191457425
task,accuracy,f1
movie_0.2,0.956,0.9559901362668334
task,accuracy,f1
face_0.1,0.6643835616438356,0.6506572960113476
task,accuracy,f1
face_0.2,0.7037671232876712,0.6940883112558385
task,accuracy,f1
dog_0.1,0.8426270136307311,0.8421707723147059
task,accuracy,f1
dog_0.2,0.8612143742255266,0.8610316638356669
task,accuracy,f1
temporal_0.0,0.8612143742255266,0.8610316638356669
task,accuracy,f1
face_0.0,0.8612143742255266,0.8610316638356669
task,accuracy,f1
waterbird_0.0,0.7592592592592593,0.7493464052287583
task,accuracy,f1
temporal_0.0,0.9329004329004329,0.9330575346070642
