task,mae,mse
similarity,2.8377,12.7329
emotion,10.492,250.4839
population,15575.3366,1444938891.6833
similarity,2.8377,12.7329
similarity,2.8377,12.7329
similarity,2.8377,12.7329
similarity,0.8284204933601644,1.0395947911116354
similarity,0.8284204933601644,1.0395947911116354
similarity,0.8841666666666665,1.192479166666666
similarity,0.8284204933601644,1.0395947911116354
similarity,0.8284204933601644,1.0395947911116354
