task,accuracy,f1
dog,0.8240396530359355,0.8226228657358083
temporal,0.9307359307359307,0.937007874015748
movie,0.946,0.9469548133595286
disambiguation,0.9943502824858758,0.9949042625689727
face,0.6181506849315068,0.5956694455686441
face_scrambled,0.6164383561643836,0.6161464957942863
