task,mae,mse
similarity,3.4101,16.7163
emotion,11.9643,345.1872
population,15330.8074,1630386866.8571
similarity,3.4101,16.7163
similarity,3.4101,16.7163
similarity,3.4101,16.7163
similarity,1.0915449020072308,1.7362610526816176
similarity,1.0915449020072308,1.7362610526816176
similarity,1.1158333333333332,1.862479166666666
similarity,1.0915449020072308,1.7362610526816176
similarity,1.0915449020072308,1.7362610526816176
