task,accuracy,f1
face,0.5684931506849316,0.5477385141703766
dog,0.7980173482032218,0.7966143322569005
temporal,0.9242424242424242,0.9315068493150684
movie,0.956,0.9568627450980393
disambiguation,0.9943502824858758,0.9949042625689727
face_scrambled,0.5684931506849316,0.567952726669697
