task,mae,mse
weather_ordinal,0.12198795180722892,0.1460843373493976
adult_ordinal,0.29559748427672955,0.3836477987421384
weather_ordinal,0.12198795180722892,0.1460843373493976
adult_ordinal,0.29559748427672955,0.3836477987421384
