task,accuracy/rmse
population,191737.94358481403
temporal,0.9285714285714286
dog,0.8178438661710037
movie,0.944
similarity,4.238080214149316
emotion,25.94016906494615
disambiguation,0.9943502824858758
face,0.6164383561643836
adult,0.7507507507507507
population,191737.94358481403
population,191737.94358481403
population,191737.94358481403
population,191737.94358481403
population,191737.94358481403
face,0.6164383561643836
