task,mae,mse
weather_ordinal,0.08433734939759036,0.09036144578313253
adult_ordinal,0.27358490566037735,0.33647798742138363
weather_ordinal,0.08734939759036145,0.09337349397590361
adult_ordinal,0.27672955974842767,0.3333333333333333
