task,accuracy,f1
face,0.636986301369863,0.6161628148616313
dog,0.8190830235439901,0.8187926094292041
temporal,0.8939393939393939,0.8993839835728952
movie,0.944,0.9448818897637795
disambiguation,0.9943502824858758,0.9949042625689727
face_scrambled,0.636986301369863,0.6365761651065427
