task,mae,mse
face,0.589041095890411,0.5741321014712744
dog,0.6988847583643123,0.6991264582017337
temporal,0.7251082251082251,0.7315010570824525
movie,0.898,0.8986083499005965
disambiguation,0.9717514124293786,0.9749024833770596
