task,accuracy,f1
face,0.6472602739726028,0.634594107897159
dog,0.8451053283767038,0.8435150836511307
temporal,0.9437229437229437,0.9492187500000001
movie,0.944,0.9450980392156862
face_scrambled,0.6318493150684932,0.6313549913634252
dog_scrambled,0.8339529120198265,0.8337409834643368
disambiguation,0.9943502824858758,0.9949042625689727
